sku,description,principal,category,product_group,storage_condition,units_per_case,case_length_cm,case_width_cm,case_height_cm,case_cbm,case_weight_kg,unit_cost_nzd,ti,hi,cases_per_pallet,pallet_height_cm,pallet_weight_kg,pallet_cbm
PH10283,Iron Folic 150mg Capsules 10x10,Corvane Pharma,Pharma,Capsules,Below 25C,120,36.6,31.8,25.0,0.0291,7.2,17.2,8,4,32,115.0,255.4,0.9312
PH10284,Iron Folic 150mg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,60,42.2,32.7,20.2,0.02787,4.95,11.45,6,5,30,116.0,173.5,0.8361
PH10285,Pregabalin 75mg Capsules 2x14,Venrick Laboratories,Pharma,Capsules,Below 25C,120,34.5,35.3,15.4,0.01875,3.35,15.31,6,4,24,76.6,105.4,0.44999999999999996
PH10286,Itraconazole 100mg Capsules 30s,Corvane Pharma,Pharma,Capsules,Below 25C,100,38.5,29.0,24.7,0.02758,5.28,25.75,9,5,45,138.5,262.6,1.2411
PH10287,Gabapentin 300mg Capsules 2x14,Venrick Laboratories,Pharma,Capsules,Below 25C,200,53.7,36.1,20.3,0.03935,8.51,6.37,2,5,10,116.5,110.1,0.3935
PH10288,Fluoxetine 20mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,100,42.2,31.2,19.2,0.02528,3.85,3.59,6,6,36,130.2,163.6,0.91008
PH10289,Omeprazole 40mg Capsules 60s,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,100,32.8,39.6,17.6,0.02286,5.97,10.12,7,6,42,120.60000000000001,275.74,0.96012
PH10290,Cefalexin 250mg Capsules 10x10,Corvane Pharma,Pharma,Capsules,Below 25C,100,53.9,31.6,25.0,0.04258,7.14,9.4,4,4,16,115.0,139.24,0.68128
PH10291,Omeprazole 40mg Capsules 30s,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,60,43.7,33.5,25.5,0.03733,5.81,28.49,6,2,12,66.0,94.72,0.44796
PH10292,Iron Folic 150mg Capsules 3x10,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,120,49.0,33.6,16.7,0.02749,7.62,14.25,6,6,36,115.19999999999999,299.32,0.9896400000000001
PH10293,Itraconazole 100mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,200,46.4,26.7,21.4,0.02651,5.33,22.13,8,5,40,122.0,238.2,1.0604
PH10294,Pregabalin 150mg Capsules 10x10,Corvane Pharma,Pharma,Capsules,Below 25C,200,32.2,28.8,16.9,0.01567,3.61,15.5,12,5,60,99.5,241.6,0.9402
PH10295,Tamsulosin 400mcg Capsules 2x14,Venrick Laboratories,Pharma,Capsules,Below 25C,200,44.5,34.2,20.0,0.03044,7.63,21.96,6,5,30,115.0,253.9,0.9131999999999999
PH10296,Vitamin D3 1000IU Capsules 3x10,Venrick Laboratories,Pharma,Capsules,Below 25C,200,42.7,37.5,25.2,0.04035,7.89,20.73,5,2,10,65.4,103.89999999999999,0.40349999999999997
PH10297,Amoxicillin 500mg Capsules 30s,Corvane Pharma,Pharma,Capsules,Below 25C,60,31.8,32.6,23.1,0.02395,3.62,3.28,9,5,45,130.5,187.9,1.07775
PH10298,Tamsulosin 400mcg Capsules 10x10,Venrick Laboratories,Pharma,Capsules,Below 25C,120,53.3,35.7,23.3,0.04434,10.46,19.1,4,3,12,84.9,150.52,0.53208
PH10299,Iron Folic 150mg Capsules 30s,Corvane Pharma,Pharma,Capsules,Below 25C,100,37.5,29.4,22.3,0.02459,6.56,18.9,9,4,36,104.2,261.15999999999997,0.88524
PH10300,Iron Folic 150mg Capsules 2x14,Corvane Pharma,Pharma,Capsules,Below 25C,200,35.3,25.1,23.2,0.02056,4.79,6.32,9,3,27,84.6,154.33,0.55512
PH10301,Doxycycline 100mg Capsules 2x14,Venrick Laboratories,Pharma,Capsules,Below 25C,100,45.0,36.2,15.5,0.02525,4.6,7.23,6,7,42,123.5,218.2,1.0605
PH10302,Fish Oil Omega-3 1000mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,100,53.9,31.1,17.9,0.03001,7.68,8.0,6,3,18,68.69999999999999,163.24,0.54018
PH10303,Omeprazole 40mg Capsules 2x14,Venrick Laboratories,Pharma,Capsules,Below 25C,100,46.8,38.7,20.8,0.03767,7.31,21.44,6,6,36,139.8,288.15999999999997,1.35612
PH10305,Pregabalin 75mg Capsules 60s,Solandra Health,Pharma,Capsules,Below 25C,60,41.7,29.6,17.6,0.02172,3.37,13.79,8,7,56,138.20000000000002,213.72,1.21632
PH10306,Omeprazole 40mg Capsules 10x10,Corvane Pharma,Pharma,Capsules,Below 25C,60,42.7,29.6,26.2,0.033114703999999995,6.62,15.0,8,4,32,119.8,236.84,1.0596705279999998
PH10307,Vitamin D3 1000IU Capsules 2x14,Corvane Pharma,Pharma,Capsules,Below 25C,200,42.7,29.5,21.2,0.0267,6.15,29.35,8,4,32,99.8,221.8,0.8544
PH10308,Pregabalin 75mg Capsules 10x10,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,100,42.3,32.3,19.2,0.02623,4.4,15.57,6,3,18,72.6,104.2,0.47214
PH10309,Fluoxetine 20mg Capsules 2x14,Venrick Laboratories,Pharma,Capsules,Below 25C,60,53.6,35.6,24.2,0.04618,8.74,7.05,2,4,8,111.8,94.92,0.36944
PH10310,Amoxicillin 500mg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,120,40.2,32.3,25.8,0.0335,7.51,16.24,6,5,30,144.0,250.29999999999998,1.0050000000000001
PH10311,Gabapentin 300mg Capsules 3x10,Venrick Laboratories,Pharma,Capsules,Below 25C,120,40.3,34.3,21.7,0.03,6.87,10.55,6,5,30,123.5,231.1,0.8999999999999999
PH10312,Amoxicillin 250mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,120,38.3,26.8,24.2,0.02484,6.78,12.38,9,3,27,87.6,208.06,0.67068
PH10313,Cefalexin 250mg Capsules 30s,Venrick Laboratories,Pharma,Capsules,Below 25C,100,36.4,29.2,24.6,0.02615,7.14,11.75,7,5,35,138.0,274.9,0.91525
PH10314,Fish Oil Omega-3 1000mg Capsules 30s,Corvane Pharma,Pharma,Capsules,Below 25C,100,31.9,34.0,28.8,0.03124,4.45,27.11,8,3,24,101.4,131.8,0.74976
PH10315,Cefalexin 250mg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,200,43.4,36.3,29.9,0.04711,7.13,11.49,6,5,30,164.5,238.9,1.4133
PH10316,Doxycycline 100mg Capsules 30s,Venrick Laboratories,Pharma,Capsules,Below 25C,100,30.9,37.7,26.3,0.03064,6.96,16.08,9,2,18,67.6,150.28,0.55152
PH10317,Omeprazole 20mg Capsules 60s,Corvane Pharma,Pharma,Capsules,Below 25C,200,31.7,39.8,17.8,0.02246,4.33,25.45,9,7,63,139.60000000000002,297.79,1.4149800000000001
PH10318,Cefalexin 500mg Capsules 10x10,Corvane Pharma,Pharma,Capsules,Below 25C,60,40.5,28.7,22.9,0.02662,7.29,9.08,8,5,40,129.5,316.6,1.0648
PH10319,Cefalexin 500mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,120,50.3,38.8,29.9,0.05835,13.07,17.28,3,3,9,104.69999999999999,142.63,0.52515
PH10320,Tamsulosin 400mcg Capsules 3x10,Venrick Laboratories,Pharma,Capsules,Below 25C,60,51.1,26.0,21.8,0.02896,5.44,8.43,6,5,30,124.0,188.20000000000002,0.8688
PH10321,Cefalexin 250mg Capsules 2x14,Venrick Laboratories,Pharma,Capsules,Below 25C,120,40.3,27.3,17.5,0.01925,3.07,7.54,8,6,48,120.0,172.35999999999999,0.9239999999999999
PH10322,Fluoxetine 20mg Capsules 10x10,Marwick Pharmaceuticals,Pharma,Capsules,Below 25C,200,32.3,29.9,23.3,0.0225,5.16,12.55,12,6,72,154.8,396.52,1.6199999999999999
PH10323,Amoxicillin 250mg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,100,41.1,28.3,25.5,0.02966,7.78,27.11,8,4,32,117.0,273.96000000000004,0.94912
PH10324,Omeprazole 20mg Capsules 3x10,Corvane Pharma,Pharma,Capsules,Below 25C,60,48.1,26.3,20.2,0.02555,3.94,9.17,8,5,40,116.0,182.6,1.022
PH10325,Omeprazole 20mg Capsules 10x10,Venrick Laboratories,Pharma,Capsules,Below 25C,60,41.2,38.0,27.6,0.04321,11.68,9.64,6,4,24,125.4,305.32,1.03704
PH10326,Cefalexin 500mg Capsules 60s,Solandra Health,Pharma,Capsules,Below 25C,100,30.9,29.9,21.6,0.01996,3.03,19.87,12,3,36,79.80000000000001,134.07999999999998,0.71856
PH10327,Vitamin D3 1000IU Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,60,40.0,35.5,28.5,0.04047,10.91,28.24,6,2,12,72.0,155.92000000000002,0.48563999999999996
PH10328,Amoxicillin 250mg Capsules 10x10,Corvane Pharma,Pharma,Capsules,Below 25C,60,46.0,38.3,20.0,0.03524,6.59,15.26,6,3,18,75.0,143.62,0.63432
PH10329,Pregabalin 150mg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,120,38.1,28.2,21.6,0.02321,4.31,24.79,9,6,54,144.60000000000002,257.74,1.2533400000000001
PH10330,Fish Oil Omega-3 1000mg Capsules 60s,Venrick Laboratories,Pharma,Capsules,Below 25C,60,50.8,29.9,27.0,0.04101,8.8,7.66,6,5,30,150.0,289.0,1.2303
PH10331,Cetirizine 5mg/5ml Syrup 200ml,Solandra Health,Pharma,Syrups,Below 25C,36,40.6,24.4,23.4,0.02318,13.92,6.94,8,3,24,85.19999999999999,359.08,0.5563199999999999
PH10332,Paracetamol 120mg/5ml Syrup 100ml,Solandra Health,Pharma,Syrups,Below 25C,24,34.3,25.5,16.6,0.01452,11.39,3.26,7,7,49,131.20000000000002,583.11,0.71148
PH10333,Cough Expectorant Syrup 100ml,Halvora Healthcare,Pharma,Syrups,Below 25C,24,45.0,21.6,19.4,0.01886,14.68,6.47,10,4,40,92.6,612.2,0.7544
PH10334,Multivitamin Syrup 200ml,Halvora Healthcare,Pharma,Syrups,Below 25C,24,40.6,20.4,15.2,0.01259,8.25,8.59,10,7,70,121.39999999999999,602.5,0.8813000000000001
PH10335,Iron Tonic Syrup 200ml,Solandra Health,Pharma,Syrups,Below 25C,36,33.3,25.7,18.3,0.01566,8.82,4.69,12,6,72,124.80000000000001,660.04,1.12752
PH10336,Iron Tonic Syrup 60ml,Solandra Health,Pharma,Syrups,Below 25C,48,40.9,22.5,20.9,0.01923,15.14,5.3,8,5,40,119.5,630.6,0.7692
PH10338,Paracetamol 120mg/5ml Syrup 60ml,Halvora Healthcare,Pharma,Syrups,Below 25C,60,30.8,30.3,16.8,0.01568,11.82,3.6,8,7,56,132.60000000000002,686.9200000000001,0.87808
PH10339,Amoxicillin 125mg/5ml Dry Syrup 60ml,Halvora Healthcare,Pharma,Syrups,Below 25C,24,42.6,21.4,15.1,0.01377,8.79,4.4,10,7,70,120.7,640.3,0.9639
PH10340,Loratadine 5mg/5ml Syrup 200ml,Halvora Healthcare,Pharma,Syrups,Below 25C,60,41.2,29.9,15.9,0.01959,15.04,6.84,6,8,48,142.2,746.92,0.94032
PH10342,Ibuprofen 100mg/5ml Suspension 60ml,Halvora Healthcare,Pharma,Syrups,Below 25C,36,43.7,26.2,18.2,0.02084,15.91,6.03,8,5,40,106.0,661.4,0.8336
PH10343,Cough Expectorant Syrup 60ml,Halvora Healthcare,Pharma,Syrups,Below 25C,24,33.0,34.9,23.6,0.02718,19.58,8.47,7,3,21,85.80000000000001,436.17999999999995,0.57078
PH10344,Cetirizine 5mg/5ml Syrup 60ml,Halvora Healthcare,Pharma,Syrups,Below 25C,48,42.4,29.2,19.1,0.02365,15.06,9.19,8,5,40,110.5,627.4,0.9460000000000001
PH10345,Lactulose 3.3g/5ml Solution 100ml,Solandra Health,Pharma,Syrups,Below 25C,24,44.9,33.1,17.1,0.02541,19.59,5.42,4,6,24,117.60000000000001,495.15999999999997,0.6098399999999999
PH10346,Salbutamol 2mg/5ml Syrup 200ml,Solandra Health,Pharma,Syrups,Below 25C,36,37.3,22.2,20.0,0.01656,9.5,8.5,12,5,60,115.0,595.0,0.9935999999999999
PH10347,Iron Tonic Syrup 100ml,Solandra Health,Pharma,Syrups,Below 25C,36,40.9,33.6,22.6,0.03106,19.95,11.78,6,5,30,128.0,623.5,0.9318000000000001
PH10348,Cough Expectorant Syrup 200ml,Solandra Health,Pharma,Syrups,Below 25C,36,34.2,27.0,21.2,0.01958,11.39,10.3,9,3,27,78.6,332.53000000000003,0.52866
PH10349,Antacid Oral Suspension 100ml,Halvora Healthcare,Pharma,Syrups,Below 25C,48,40.5,22.2,21.5,0.01933,12.85,4.63,10,4,40,101.0,539.0,0.7732
PH10350,Amoxicillin 125mg/5ml Dry Syrup 200ml,Halvora Healthcare,Pharma,Syrups,Below 25C,48,36.1,24.5,22.4,0.01981,14.05,11.26,10,5,50,127.0,727.5,0.9905
PH10351,Antacid Oral Suspension 200ml,Solandra Health,Pharma,Syrups,Below 25C,24,38.0,33.9,21.1,0.02718,20.82,3.9,6,4,24,99.4,524.6800000000001,0.65232
PH10352,Paracetamol 120mg/5ml Syrup 200ml,Halvora Healthcare,Pharma,Syrups,Below 25C,60,37.3,24.3,17.6,0.01595,10.07,3.67,12,5,60,103.0,629.2,0.957
PH10353,Multivitamin Syrup 60ml,Halvora Healthcare,Pharma,Syrups,Below 25C,60,33.5,25.4,19.0,0.01617,11.05,5.42,8,6,48,129.0,555.4000000000001,0.77616
PH10354,Oral Rehydration Solution 200ml,Halvora Healthcare,Pharma,Syrups,Below 25C,60,35.3,30.1,22.5,0.02391,14.92,11.92,9,5,45,127.5,696.4,1.07595
PH10355,Loratadine 5mg/5ml Syrup 100ml,Solandra Health,Pharma,Syrups,Below 25C,36,31.9,32.0,18.0,0.01837,12.97,10.52,9,6,54,123.0,725.38,0.9919800000000001
PH10356,Azithromycin 200mg/5ml Suspension 200ml,Solandra Health,Pharma,Syrups,Below 25C,48,42.9,24.8,15.9,0.01692,9.34,9.97,8,6,48,110.4,473.32,0.81216
PH10357,Amoxicillin 125mg/5ml Dry Syrup 100ml,Solandra Health,Pharma,Syrups,Below 25C,60,41.6,31.1,25.0,0.03234,20.73,4.57,6,5,30,140.0,646.9,0.9702000000000001
PH10358,Oral Rehydration Solution 60ml,Halvora Healthcare,Pharma,Syrups,Below 25C,60,36.7,20.2,21.1,0.01564,10.25,10.75,10,4,40,99.4,435.0,0.6256
PH10359,Salbutamol 2mg/5ml Syrup 60ml,Solandra Health,Pharma,Syrups,Below 25C,60,38.3,25.7,17.2,0.01693,13.27,10.5,9,6,54,118.19999999999999,741.5799999999999,0.91422
PH10360,Cetirizine 5mg/5ml Syrup 100ml,Halvora Healthcare,Pharma,Syrups,Below 25C,60,38.2,30.9,17.3,0.02042,13.25,11.51,9,5,45,101.5,621.25,0.9189
PH10361,Antacid Oral Suspension 60ml,Halvora Healthcare,Pharma,Syrups,Below 25C,36,36.6,21.8,18.4,0.01468,11.6,6.71,12,5,60,107.0,721.0,0.8808
PH10362,Salbutamol 2mg/5ml Syrup 100ml,Halvora Healthcare,Pharma,Syrups,Below 25C,24,36.8,20.6,18.6,0.0141,10.93,5.27,12,5,60,108.0,680.8,0.846
PH10363,Multivitamin Syrup 100ml,Solandra Health,Pharma,Syrups,Below 25C,48,38.0,26.4,21.3,0.02137,14.97,10.88,9,5,45,121.5,698.65,0.96165
PH10364,Loratadine 5mg/5ml Syrup 60ml,Halvora Healthcare,Pharma,Syrups,Below 25C,48,38.9,24.9,15.7,0.01521,9.66,3.72,12,6,72,109.19999999999999,720.52,1.0951199999999999
PH10365,Ibuprofen 100mg/5ml Suspension 100ml,Solandra Health,Pharma,Syrups,Below 25C,36,35.2,28.4,24.6,0.02459,18.76,6.86,9,2,18,64.2,362.68,0.44262
PH10366,Lactulose 3.3g/5ml Solution 60ml,Halvora Healthcare,Pharma,Syrups,Below 25C,36,34.6,27.1,18.4,0.01725,13.69,8.92,9,5,45,107.0,641.05,0.7762500000000001
PH10367,Zinc Sulfate Syrup 200ml,Solandra Health,Pharma,Syrups,Below 25C,48,44.6,27.9,20.7,0.02576,16.09,6.42,8,5,40,118.5,668.6,1.0304
PH10368,Lactulose 3.3g/5ml Solution 200ml,Solandra Health,Pharma,Syrups,Below 25C,48,41.5,28.0,15.4,0.01789,12.94,10.3,8,4,32,76.6,439.08,0.57248
PH10369,Ibuprofen 100mg/5ml Suspension 200ml,Solandra Health,Pharma,Syrups,Below 25C,24,35.2,30.7,17.7,0.01913,11.97,3.12,7,3,21,68.1,276.37,0.40173000000000003
PH10370,Zinc Sulfate Syrup 60ml,Halvora Healthcare,Pharma,Syrups,Below 25C,48,35.1,21.2,18.8,0.01399,9.79,7.42,12,4,48,90.2,494.91999999999996,0.67152
PH10371,Glucose 4% + NaCl 0.18% IV 250ml Bag,Clearford Infusions,Pharma,IV Fluids,Below 25C,12,50.6,36.5,22.4,0.04137,37.49,5.68,4,4,16,104.6,624.84,0.66192
PH10372,Glucose 4% + NaCl 0.18% IV 1000ml Bag,Clearford Infusions,Pharma,IV Fluids,Below 25C,12,52.5,32.2,22.2,0.03753,32.89,1.96,6,3,18,81.6,617.02,0.67554
PH10373,Compound Sodium Lactate IV 1000ml Bottle,Clearford Infusions,Pharma,IV Fluids,Below 25C,12,45.8,39.1,27.9,0.04996,49.79,5.06,5,2,10,70.8,522.9,0.4996
PH10374,Sodium Chloride 0.45% IV 1000ml Bottle,Clearford Infusions,Pharma,IV Fluids,Below 25C,24,45.2,30.6,27.9,0.03859,36.5,2.49,6,3,18,98.69999999999999,682.0,0.69462
PH10375,Dextrose 5% IV 1000ml Bag,Clearford Infusions,Pharma,IV Fluids,Below 25C,24,52.7,30.7,21.3,0.03446,31.21,5.4,4,5,20,121.5,649.2,0.6891999999999999
PH10376,Sodium Chloride 0.9% IV 1000ml Bottle,Clearford Infusions,Pharma,IV Fluids,Below 25C,20,45.9,31.4,21.6,0.03113,31.1,3.88,6,3,18,79.80000000000001,584.8000000000001,0.5603400000000001
PH10377,Dextrose 10% IV 250ml Bag,Clearford Infusions,Pharma,IV Fluids,Below 25C,20,45.4,30.2,27.8,0.03812,36.84,4.32,6,3,18,98.4,688.1200000000001,0.68616
PH10378,Sodium Chloride 0.9% IV 1000ml Bag,Clearford Infusions,Pharma,IV Fluids,Below 25C,12,48.8,32.6,25.9,0.0412,36.92,4.91,4,4,16,118.6,615.72,0.6592
PH10379,Glucose 4% + NaCl 0.18% IV 500ml Bag,Clearford Infusions,Pharma,IV Fluids,Below 25C,10,45.4,37.3,24.1,0.04081,40.35,5.5,6,2,12,63.2,509.20000000000005,0.48972
PH10380,Compound Sodium Lactate IV 1000ml Bag,Clearford Infusions,Pharma,IV Fluids,Below 25C,10,50.2,30.5,28.1,0.04302,36.84,3.24,5,3,15,99.30000000000001,577.6,0.6453
PH10381,Dextrose 5% IV 500ml Bag,Clearford Infusions,Pharma,IV Fluids,Below 25C,20,41.5,34.5,20.6,0.02949,27.86,2.29,6,4,24,97.4,693.64,0.70776
PH10382,Glucose 4% + NaCl 0.18% IV 1000ml Bottle,Clearford Infusions,Pharma,IV Fluids,Below 25C,10,42.6,33.6,21.8,0.0312,28.69,3.92,6,3,18,80.4,541.4200000000001,0.5616
PH10383,Sodium Chloride 0.45% IV 250ml Bag,Clearford Infusions,Pharma,IV Fluids,Below 25C,24,57.0,39.9,20.7,0.04708,42.85,1.54,3,5,15,118.5,667.75,0.7061999999999999
PH10384,Compound Sodium Lactate IV 250ml Bag,Clearford Infusions,Pharma,IV Fluids,Below 25C,20,58.7,33.9,25.1,0.04995,48.91,1.79,4,3,12,90.30000000000001,611.92,0.5994
PH10385,Glucose 4% + NaCl 0.18% IV 500ml Bottle,Clearford Infusions,Pharma,IV Fluids,Below 25C,20,40.6,31.8,26.3,0.03396,31.6,5.56,5,4,20,120.2,657.0,0.6791999999999999
PH10386,Dextrose 10% IV 1000ml Bottle,Clearford Infusions,Pharma,IV Fluids,Below 25C,10,43.7,34.3,28.4,0.04257,40.95,3.45,6,2,12,71.8,516.4000000000001,0.51084
PH10387,Dextrose 10% IV 500ml Bottle,Clearford Infusions,Pharma,IV Fluids,Below 25C,10,55.0,31.3,21.2,0.0365,33.54,3.95,6,3,18,78.6,628.72,0.6569999999999999
PH10388,Dextrose 10% IV 1000ml Bag,Clearford Infusions,Pharma,IV Fluids,Below 25C,24,59.8,39.0,25.0,0.0583,52.58,1.74,2,4,8,115.0,445.64,0.4664
PH10389,Sodium Chloride 0.45% IV 500ml Bag,Clearford Infusions,Pharma,IV Fluids,Below 25C,10,42.8,35.1,24.4,0.03666,36.5,1.99,5,3,15,88.19999999999999,572.5,0.5498999999999999
PH10390,Compound Sodium Lactate IV 500ml Bag,Clearford Infusions,Pharma,IV Fluids,Below 25C,12,45.6,38.4,24.1,0.0422,41.51,2.03,6,2,12,63.2,523.12,0.5064
PH10391,Compound Sodium Lactate IV 500ml Bottle,Clearford Infusions,Pharma,IV Fluids,Below 25C,24,58.6,33.8,28.2,0.05586,50.39,3.7,4,3,12,99.6,629.6800000000001,0.67032
PH10392,Sodium Chloride 0.9% IV 500ml Bottle,Clearford Infusions,Pharma,IV Fluids,Below 25C,12,45.2,32.9,20.6,0.03063,28.09,2.72,5,4,20,97.4,586.8,0.6126
PH10393,Dextrose 5% IV 500ml Bottle,Clearford Infusions,Pharma,IV Fluids,Below 25C,12,41.6,35.5,26.9,0.03973,37.6,2.15,6,3,18,95.69999999999999,701.8000000000001,0.71514
PH10394,Dextrose 10% IV 500ml Bag,Clearford Infusions,Pharma,IV Fluids,Below 25C,20,49.2,35.2,24.1,0.04174,38.83,4.03,6,3,18,87.30000000000001,723.9399999999999,0.75132
PH10395,Dextrose 5% IV 250ml Bag,Clearford Infusions,Pharma,IV Fluids,Below 25C,12,58.1,32.5,28.3,0.05344,52.24,4.18,6,2,12,71.6,651.88,0.6412800000000001
PH10396,Hydrocortisone 100mg Vial 1s,Dunmore Therapeutics,Pharma,Injections,2-8C,50,40.7,34.3,24.3,0.03392,4.96,22.3,6,6,36,160.8,203.56,1.22112
PH10397,Pantoprazole 40mg Vial 10s,Tessaline Biologics,Pharma,Injections,Below 25C,100,30.2,22.1,21.9,0.01462,2.91,11.05,14,3,42,80.69999999999999,147.22,0.6140399999999999
PH10398,Heparin 5000IU/ml 5ml Vial 10s,Tessaline Biologics,Pharma,Injections,2-8C,200,35.6,25.2,13.2,0.01184,1.85,6.26,7,9,63,133.8,141.55,0.74592
PH10399,Enoxaparin 40mg Prefilled Syringe 1s,Clearford Infusions,Pharma,Injections,Below 25C,100,34.8,31.2,15.4,0.01672,4.03,37.09,9,8,72,138.2,315.16,1.20384
PH10400,Pantoprazole 40mg Vial 1s,Dunmore Therapeutics,Pharma,Injections,Below 25C,200,38.2,23.4,20.4,0.01824,2.23,17.6,12,6,72,137.39999999999998,185.56,1.31328
PH10401,Lidocaine 2% 5ml Ampoule 10s,Dunmore Therapeutics,Pharma,Injections,Below 25C,100,26.4,33.9,15.5,0.01387,2.97,38.26,8,5,40,92.5,143.8,0.5548
PH10402,Cefuroxime 750mg Vial 10s,Clearford Infusions,Pharma,Injections,Below 25C,200,33.1,25.5,13.1,0.01106,1.35,28.33,12,6,72,93.6,122.2,0.79632
PH10403,Amikacin 500mg/2ml Vial 5s,Tessaline Biologics,Pharma,Injections,Below 25C,50,30.4,32.7,21.8,0.02167,4.52,38.8,9,5,45,124.0,228.39999999999998,0.97515
PH10404,Tramadol 100mg/2ml Ampoule 1s,Dunmore Therapeutics,Pharma,Injections,Below 25C,50,41.8,23.0,12.8,0.01231,1.75,16.94,10,11,110,155.8,217.5,1.3541
PH10405,Metoclopramide 10mg/2ml Ampoule 5s,Dunmore Therapeutics,Pharma,Injections,2-8C,50,38.4,22.5,14.8,0.01279,1.88,7.28,11,4,44,74.2,107.72,0.5627599999999999
PH10406,Dexamethasone 4mg/ml Ampoule 5s,Dunmore Therapeutics,Pharma,Injections,2-8C,50,41.9,30.6,13.8,0.01769,3.98,21.27,6,6,36,97.80000000000001,168.28,0.6368400000000001
PH10407,Pantoprazole 40mg Vial 5s,Dunmore Therapeutics,Pharma,Injections,Below 25C,50,40.6,24.7,17.2,0.01725,4.22,16.3,8,4,32,83.8,160.04,0.552
PH10408,Tramadol 100mg/2ml Ampoule 5s,Tessaline Biologics,Pharma,Injections,Below 25C,100,32.6,31.1,20.7,0.02099,5.01,28.12,9,4,36,97.8,205.35999999999999,0.7556400000000001
PH10409,Lidocaine 2% 5ml Ampoule 5s,Clearford Infusions,Pharma,Injections,Below 25C,200,25.7,28.6,18.1,0.0133,2.4,20.51,12,4,48,87.4,140.2,0.6384
PH10410,Ondansetron 4mg/2ml Ampoule 10s,Tessaline Biologics,Pharma,Injections,Below 25C,100,30.5,34.5,20.6,0.02168,4.54,10.58,9,6,54,138.60000000000002,270.15999999999997,1.17072
PH10411,Cefuroxime 750mg Vial 5s,Dunmore Therapeutics,Pharma,Injections,2-8C,50,27.8,26.7,18.7,0.01388,2.3,29.77,11,5,55,108.5,151.5,0.7634
PH10412,Lidocaine 2% 5ml Ampoule 1s,Dunmore Therapeutics,Pharma,Injections,Below 25C,200,31.3,31.8,20.3,0.02021,3.9,33.68,9,5,45,116.5,200.5,0.90945
PH10413,Metoclopramide 10mg/2ml Ampoule 1s,Dunmore Therapeutics,Pharma,Injections,Below 25C,100,29.4,24.7,21.5,0.01561,3.87,22.14,16,4,64,101.0,272.68,0.99904
PH10414,Furosemide 20mg/2ml Ampoule 5s,Tessaline Biologics,Pharma,Injections,Below 25C,100,42.1,20.3,20.5,0.01752,2.67,25.08,10,4,40,97.0,131.8,0.7008000000000001
PH10415,Metoclopramide 10mg/2ml Ampoule 10s,Clearford Infusions,Pharma,Injections,2-8C,50,25.7,27.7,19.2,0.01367,2.68,36.67,12,5,60,111.0,185.8,0.8202
PH10416,Heparin 5000IU/ml 5ml Vial 1s,Tessaline Biologics,Pharma,Injections,Below 25C,200,37.3,28.5,17.0,0.01807,3.7,30.57,9,5,45,100.0,191.5,0.8131499999999999
PH10417,Ketorolac 30mg/ml Ampoule 1s,Dunmore Therapeutics,Pharma,Injections,2-8C,50,26.7,34.9,22.3,0.02078,2.92,31.92,9,4,36,104.2,130.12,0.74808
PH10418,Ketorolac 30mg/ml Ampoule 10s,Tessaline Biologics,Pharma,Injections,Below 25C,200,30.9,23.0,16.9,0.01201,2.6,20.65,15,6,90,116.39999999999999,259.0,1.0809
PH10419,Dexamethasone 4mg/ml Ampoule 10s,Clearford Infusions,Pharma,Injections,Below 25C,100,33.8,30.2,21.3,0.02174,5.33,11.01,9,5,45,121.5,264.85,0.9783
PH10420,Enoxaparin 40mg Prefilled Syringe 10s,Tessaline Biologics,Pharma,Injections,Below 25C,100,27.4,30.0,15.1,0.01241,2.73,19.72,12,8,96,135.8,287.08,1.19136
PH10421,Heparin 5000IU/ml 5ml Vial 5s,Tessaline Biologics,Pharma,Injections,Below 25C,200,38.4,20.7,18.8,0.01494,2.61,12.49,12,5,60,109.0,181.6,0.8964
PH10422,Amikacin 500mg/2ml Vial 10s,Dunmore Therapeutics,Pharma,Injections,Below 25C,100,34.2,31.7,21.3,0.02309,3.99,38.6,9,6,54,142.8,240.46,1.2468599999999999
PH10423,Enoxaparin 40mg Prefilled Syringe 5s,Dunmore Therapeutics,Pharma,Injections,Below 25C,100,41.2,23.9,20.3,0.01999,3.93,18.23,8,6,48,136.8,213.64000000000001,0.95952
